Serial,QDATE,QMONTH,QYEAR,METHOD,WAVE,QST_1,QST_2,QET_1,QET_2,DURA,ID_INTV,Q1A,Q1B,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5A,Q5B_1,Q5B_2,Q5B_3,Q5B_4,Q5B_5,Q5B_6,Q5B_7,Q6,Q7A_1,Q7B_1,Q7C_1,Q7A_2,Q7B_2,Q7C_2,Q7A_3,Q7B_3,Q7C_3,Q7A_4,Q7B_4,Q7C_4,Q7A_5,Q7B_5,Q7C_5,Q7A_6,Q7B_6,Q7C_6,Q7A_7,Q7B_7,Q7C_7,Q7A_8,Q7B_8,Q7C_8,Q7A_9,Q7B_9,Q7C_9,Q7A_10,Q7B_10,Q7C_10,Q8,Q9,Q10,Q11,Q12A_1,Q12A_2,Q12A_3,Q13A_1,Q13A_2,Q14,Q15A,Q15B,Q15C,Q57A,Q57B,Q57C,Q16A,Q16B,Q16C,Q17A_1,Q17A_2,Q17A_3,Q17A_4,Q18A_1,Q18A_2,Q18A_3,Q19A_1,Q19A_2,Q19A_3,Q20,Q21A,Q21B_1,Q21B_2,Q21B_3,Q21B_4,Q21C,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30A,Q30B,Q31_1,Q31_2,Q31_3,Q31_4,Q32A_1,Q32A_2,Q32A_3,Q32A_4,Q32A_5,Q32A_6,Q32B_1_1,Q32B_1_2,Q32B_1_3,Q32B_2_1,Q32B_2_2,Q32B_2_3,Q32B_2_4,Q32B_3_1,Q32B_3_2,Q32B_3_3,Q32B_4_1,Q32B_4_2,Q32B_4_3,Q32B_5_1,Q32B_5_2,Q32B_6,Q32B_7_1,Q32B_7_2,Q32B_8_1,Q32B_8_2,Q33A_1,Q33A_2,Q33A_3,Q33A_4,Q33B_1,Q33B_2,Q33B_3,Q33B_4,Q34A_1,Q34A_2,Q34B_1,Q34B_2,Q35,Q36,Q37A_1,Q37A_2,Q37A_3,Q58,Q38A_1,Q38A_2,Q38B_1,Q38B_2,Q39,Q40A,Q40B,Q41,Q42,Q43,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q44_12,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56
123,16,7,16,2,6,16,8,16,39,31,61205,7,2,1,2,3,,94,2,1,0,1,1,1,1,0,0,3,55,1,1,49,2,1,15,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,8,U,5,4,0,0,1,0,0,8,0,0,5,5,4,5,4,4,4,3,3,3,2,1,1,2,,,1,1,0,7,6,2,0,1,1,1,1,4,,,,2,,,,,,0,,,4,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,3,1500,U,U,4,U,U,U,U,1,35,4,5,1,2,1,2,3,8,12,,,,,,,,5,1,4,1,0,4,TIMZRIT,2,780325866,1,2,2
124,16,7,16,2,6,16,50,17,11,21,61205,7,2,3,,,,94,2,5,1,1,1,1,0,0,0,2,50,2,1,33,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,5,1,0,0,1,0,0,8,0,0,5,4,4,5,4,4,4,3,3,3,97,2,0,,,,0,3,97,8,7,2,0,1,2,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,8,500,U,U,4,U,U,U,U,1,56,6,1,4,2,1,2,3,8,12,,,,,,,,5,1,1,2,0,4,TIMZRIT,2,558663399,1,2,2
125,16,7,16,2,6,12,29,12,57,28,90495,3,1,1,,,,94,2,1,0,1,0,0,0,0,0,3,59,2,1,35,2,1,28,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,6,4,0,0,1,0,0,8,0,0,4,4,4,4,4,97,97,4,97,97,97,2,0,,,,0,1,0,9,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,400,U,U,4,U,U,U,U,2,57,6,1,9,5,1,2,3,5,8,9,12,,,,,,97,1,1,1,0,4,HADJOUT,1,774213568,1,2,3
126,16,7,16,2,6,16,29,17,37,68,90495,3,1,1,,,,94,2,2,1,0,1,0,0,0,0,6,43,2,1,22,1,1,20,2,1,17,1,1,14,1,2,9,2,2,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,5,U,8,97,0,0,1,0,0,8,0,0,4,4,4,4,97,4,2,2,2,2,97,2,0,,,,0,4,97,9,6,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1000,U,U,4,U,U,U,U,1,52,5,3,4,4,1,2,3,4,8,9,10,12,,,,,97,97,1,3,0,3,TIPAZA,1,665350421,1,2,3
127,16,7,16,2,6,13,4,13,21,17,90495,3,1,1,,,,94,2,2,1,0,0,0,1,0,0,4,59,1,1,57,2,1,22,1,1,19,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,5,1,0,0,1,0,0,8,0,0,4,4,4,4,4,97,97,3,97,97,97,2,0,,,,0,1,0,8,4,2,0,3,0,1,1,4,,,,7,,,,,,0,,,0,,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,2,0,1,2,1,0,7,3,700,U,U,4,U,U,500,U,2,22,2,3,2,5,1,2,3,4,8,12,,,,,,,97,1,1,2,0,4,ATTATBA,1,560875866,1,2,3
128,16,7,16,2,6,13,27,13,43,16,90495,3,1,1,,,,94,2,1,0,1,1,0,0,0,0,4,30,1,1,6,1,2,5,2,2,3,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,7,U,8,29,0,0,2,0,0,8,0,0,4,4,4,4,97,97,4,4,4,4,3,2,0,,,,0,1,0,4,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,19,9,3000,U,U,4,U,U,U,U,1,38,4,4,1,4,1,2,3,4,8,12,,,,,,,97,2,1,3,0,4,HADJOUT,1,670870415,1,2,3
129,16,7,16,2,6,13,50,14,23,33,90495,3,1,1,,,,94,2,3,1,1,0,0,0,0,0,4,22,1,1,19,2,1,15,1,1,12,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,5,20,0,0,2,0,0,8,0,0,4,4,4,4,97,4,97,4,4,4,97,2,0,,,,0,1,0,7,7,2,0,1,1,1,2,2,,,,2,4,,,,,0,,,2,,,,0,,,2,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,2,2,0,0,14,8,1000,U,U,4,U,U,U,U,2,47,5,5,1,4,1,2,3,5,8,9,12,,,,,,97,3,1,2,0,3,HADJOUT,1,552148851,1,2,3
130,16,7,16,2,6,14,26,14,36,10,90495,3,1,1,,,,94,2,3,1,1,0,1,1,0,0,5,58,1,1,56,2,1,26,1,1,22,1,1,14,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,5,97,0,0,1,0,0,8,0,0,4,4,4,4,4,4,4,4,4,4,2,2,0,,,,0,1,0,2,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3500,U,U,4,U,U,U,U,1,19,1,3,94,4,1,2,3,4,8,12,,,,,,,97,97,1,2,0,4,HADJOUT,1,554738056,1,2,3
131,16,7,16,2,6,14,40,14,58,18,90495,3,1,1,,,,94,2,3,1,1,0,0,0,0,0,4,63,1,1,58,2,1,22,2,1,20,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,8,U,8,12,0,0,1,0,0,8,0,0,4,4,4,4,4,97,97,4,4,4,3,1,1,,,,0,1,0,3,5,2,0,3,0,1,1,4,,,,7,,,,,,0,,,0,,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,3,0,1,2,1,0,7,1,3000,U,U,4,U,U,1000,U,1,27,3,3,1,6,1,2,3,4,8,9,12,,,,,,97,1,3,3,0,3,HADJOUT,1,657602966,1,2,3
132,16,7,16,2,6,15,14,15,45,31,90495,3,1,1,,,,94,2,1,0,1,1,0,0,0,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,5,1,0,0,1,0,0,8,0,0,4,4,4,4,97,4,3,4,4,4,97,1,3,,,,0,1,0,9,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2500,U,U,4,U,U,U,U,1,59,6,3,4,4,1,2,3,8,12,,,,,,,,97,1,3,2,0,4,TIPAZA,1,559168459,1,2,3
133,16,7,16,2,6,15,46,16,2,16,90495,3,1,1,,,,94,2,1,0,1,1,0,0,0,0,4,72,1,1,69,2,1,29,1,1,25,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,6,2,0,0,1,0,0,8,0,0,4,4,5,5,4,4,2,3,4,3,2,1,1,,,,0,1,0,9,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1000,U,U,4,U,U,U,U,2,39,4,4,1,4,1,2,3,4,8,,,,,,,,97,1,3,2,0,4,TIPAZA,1,553923448,1,2,3
134,16,7,16,2,6,16,7,16,26,19,90495,3,1,1,,,,94,2,3,1,1,0,0,0,0,0,6,55,1,1,50,2,1,22,1,1,15,1,2,12,2,2,7,1,2,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,6,U,4,97,0,0,1,0,0,7,0,0,4,4,2,4,4,4,2,2,2,2,1,1,3,,,,0,4,97,9,7,2,0,3,0,1,1,4,,,,3,,,,,,0,,,0,,,,4,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,3,1000,U,U,4,U,U,U,U,1,21,2,3,94,6,1,2,3,4,8,,,,,,,,3,97,4,3,0,4,TIPAZA,1,656325612,1,2,3
135,16,7,16,2,6,21,15,21,35,20,160767,1,1,1,2,3,,94,2,2,1,0,1,0,0,0,0,4,45,1,1,38,2,1,15,1,1,8,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,8,21,0,0,2,0,0,7,0,0,5,5,5,5,4,5,4,3,3,3,97,1,2,,,,0,1,0,7,7,1,3,1,1,1,2,2,4,,,2,4,,,,,0,,,2,4,,,0,,,2,4,,0,,0,0,,0,,0,0,0,0,0,0,0,0,2,2,0,0,16,8,77777,U,U,4,U,U,U,U,1,45,5,4,2,3,1,2,3,4,5,6,7,8,9,10,11,13,7,3,4,2,0,1,Hydra,1,560667150,1,2,3
136,16,7,16,2,6,21,35,21,56,21,160767,1,1,1,2,3,,94,2,1,0,1,1,0,0,0,0,3,38,1,1,33,2,1,4,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,9,U,8,4,0,0,1,0,0,8,0,0,4,5,5,5,4,3,3,4,3,3,97,2,0,,,,0,1,0,8,5,2,0,1,2,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2500,U,U,4,U,U,U,U,1,38,4,2,4,4,1,2,3,4,6,8,10,12,,,,,97,1,1,1,0,3,Hydra,1,775153882,1,2,3
137,14,7,16,2,6,18,30,19,14,44,100970,22,1,1,,,,94,2,1,0,1,1,0,0,0,0,5,63,1,1,26,2,1,22,1,1,19,2,1,15,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,6,7,0,0,1,0,0,8,0,0,4,5,5,3,5,4,3,2,3,4,97,2,0,,,,0,5,0,10,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1000,U,U,4,U,U,U,U,2,56,6,4,9,5,1,2,3,4,6,7,8,12,,,,,5,1,1,1,0,3,BOUDOUAOU,1,797526680,1,2,3
138,16,7,16,2,6,18,12,18,50,38,100970,6,2,1,,,,94,2,1,0,1,1,0,0,0,0,7,66,1,1,54,2,1,33,1,1,30,1,1,26,2,1,22,2,1,15,1,1,U,0,0,U,0,0,U,0,0,1,0,0,2,1,3,0,7,8,5,7,12,0,1,1,0,8,8,0,4,5,5,4,5,3,4,3,2,4,3,1,2,,,,0,1,0,6,5,2,0,1,1,1,1,2,4,,,2,,,,,,0,,,2,4,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,98,3,3500,3000,U,4,U,U,U,U,1,24,2,3,4,3,1,2,3,4,6,7,8,12,,,,,5,1,2,1,3,3,KADIRIA,1,798707603,1,2,3
139,16,7,16,2,6,18,57,20,4,67,100970,6,2,1,2,,,94,2,5,1,0,1,0,0,0,0,4,56,1,1,48,2,1,22,2,1,12,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,10,U,3,3,0,0,1,0,0,8,0,0,5,5,5,4,4,5,3,3,4,2,2,2,0,,,,0,1,0,8,6,2,0,1,1,1,1,1,2,4,,2,,,,,,0,,,1,2,4,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,4,1000,U,U,4,U,U,U,U,1,16,1,4,7,4,1,2,3,4,6,7,8,9,10,12,,,5,1,1,2,0,3,KADIRIA,1,549599684,1,2,3
141,16,7,16,2,6,15,54,16,25,31,100970,6,2,1,,,,94,2,1,0,1,1,0,0,0,0,5,52,1,1,25,1,1,23,1,1,20,2,1,14,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,3,1,2,3,6,8,7,24,3,12,2,1,1,8,8,8,4,5,5,3,5,4,3,2,4,5,3,1,1,,,,0,1,0,5,6,1,3,1,1,1,1,2,3,4,,2,7,,,,,0,,,2,3,4,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,1,0,1,2,2,0,98,8,1750,1000,500,4,U,U,0,U,2,38,4,5,4,1,1,2,3,4,6,7,8,9,10,12,,,7,2,2,1,2,3,KADIRIA,1,554094119,1,2,3
142,16,7,16,2,6,17,25,17,48,23,100970,6,2,1,3,,,94,2,1,0,1,1,0,0,0,0,5,62,1,1,53,2,1,30,1,1,22,1,1,19,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,2,1,1,0,9,9,8,7,10,0,1,1,0,8,8,0,4,5,5,4,5,4,3,4,2,3,1,2,0,,,,0,1,0,6,6,2,0,1,1,1,1,2,4,,,2,,,,,,0,,,2,4,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,3,2000,1000,U,4,U,U,U,U,1,27,3,3,4,4,1,2,3,4,6,7,8,9,,,,,6,1,1,1,1,3,KADIRIA,1,790971893,1,2,3
143,16,7,16,2,6,17,48,18,12,24,100970,6,2,1,,,,94,2,1,0,1,1,0,0,0,0,6,59,1,1,54,2,1,32,1,1,30,1,1,21,2,1,16,2,1,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,9,U,6,39,0,0,1,0,0,8,0,0,4,5,5,4,5,3,4,4,2,3,1,1,1,,,,0,2,0,7,5,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3000,U,U,4,U,U,U,U,1,23,2,3,2,4,1,2,3,6,7,10,,,,,,,6,1,4,1,0,3,KADIRIA,1,775052849,1,2,3
144,16,7,16,2,6,22,2,22,30,28,160767,1,1,1,2,,,94,2,3,1,1,0,0,0,0,0,3,46,2,1,20,2,1,16,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,10,U,4,12,0,0,1,0,0,8,0,0,5,5,5,5,4,4,4,2,2,3,3,2,0,,,,0,1,0,10,4,2,0,1,2,1,2,4,,,,7,,,,,,0,,,0,,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,3,0,1,2,2,0,7,5,500,U,U,4,U,U,200,U,2,20,2,5,7,4,4,6,9,12,,,,,,,,,97,1,1,3,0,4,Hydra,1,673258160,1,2,3
145,16,7,16,2,6,14,14,14,31,17,61322,7,2,1,2,3,,94,2,3,1,0,0,0,1,0,0,4,60,1,1,53,2,1,28,2,1,22,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,7,U,8,29,0,0,2,0,0,8,0,0,4,3,3,4,4,4,3,2,2,3,2,1,1,,,,0,3,97,3,4,2,0,1,1,1,1,2,3,4,,2,,,,,,0,,,2,3,4,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,18,8,2300,U,U,4,U,U,U,U,1,26,3,5,2,4,1,2,3,4,6,7,8,9,10,12,,,6,2,3,3,0,3,AMIZOUR,2,670151090,1,1,3
146,16,7,16,2,6,18,34,18,53,19,61322,7,2,1,2,3,,94,2,1,0,1,1,0,0,0,0,4,60,1,1,56,2,1,25,2,1,22,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,9,U,4,3,0,0,1,0,0,8,0,0,5,5,5,5,5,4,4,1,2,2,2,2,0,,,,0,1,0,7,5,2,0,1,1,1,1,2,4,,,2,7,,,,,0,,,2,4,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,2,0,1,2,1,0,17,5,2000,U,U,4,U,U,1999,U,1,18,1,4,7,4,95,,,,,,,,,,,,97,1,1,2,0,5,AMIZOUR,2,560263450,1,1,3
147,16,7,16,2,6,14,38,14,54,16,61322,7,2,1,2,3,,94,2,1,0,1,1,0,0,0,0,5,55,1,1,48,2,1,19,1,1,14,2,2,11,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,5,4,0,0,1,0,0,8,0,0,4,5,97,3,5,3,3,3,2,3,97,1,2,,,,0,1,0,10,4,2,0,1,1,1,1,1,4,,,2,,,,,,0,,,1,4,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,5,400,U,U,4,U,U,U,U,1,20,2,4,7,4,1,2,3,4,8,9,10,,,,,,97,1,3,1,0,4,AMIZOUR,2,795516650,1,1,3
148,16,7,16,2,6,15,57,16,14,17,61322,7,2,1,2,3,,94,2,3,1,0,0,0,1,0,0,2,42,2,1,11,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,8,U,3,97,0,0,1,0,0,8,0,0,4,2,2,2,97,4,2,97,2,4,2,1,2,,,,0,3,97,10,7,2,0,1,1,1,1,3,4,,,2,,,,,,0,,,3,4,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,5,400,U,U,4,U,U,U,U,2,15,1,3,7,4,1,2,3,4,6,9,10,,,,,,97,97,3,3,0,4,AMIZOUR,2,676816805,1,2,3
149,16,7,16,2,6,16,16,16,32,16,61322,7,2,1,2,3,4,94,2,5,1,0,1,0,0,0,0,6,63,1,1,53,2,1,27,1,1,26,2,1,21,1,1,1,2,2,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,7,U,6,1,0,0,1,0,0,8,0,0,4,4,97,4,97,3,97,97,2,97,97,1,1,,,,0,1,0,10,3,2,0,1,1,1,3,4,,,,2,,,,,,0,,,4,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,2,2,0,0,7,6,200,U,U,4,U,U,U,U,2,24,2,5,7,4,1,2,3,4,7,8,9,12,,,,,5,1,3,2,0,3,AMIZOUR,2,542412866,1,2,3
150,16,7,16,2,6,16,35,16,50,15,61322,7,2,3,,,,94,2,2,0,0,0,0,0,0,1,2,71,1,1,35,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,5,U,3,97,0,0,1,0,0,8,0,0,97,3,97,3,97,2,97,97,2,97,97,2,0,,,,0,5,0,11,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,8,100,U,U,4,U,U,U,U,2,63,6,1,9,4,95,,,,,,,,,,,,97,97,1,2,0,6,AMIZOUR,2,555555555,2,2,3
151,16,7,16,2,6,16,51,17,6,15,61322,7,2,1,2,3,,94,2,5,1,0,1,0,0,0,0,5,63,1,1,63,2,2,37,2,1,30,1,1,21,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,6,U,5,1,0,0,1,0,0,8,0,0,3,3,3,3,97,4,97,97,2,97,97,1,2,,,,0,1,0,10,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,400,U,U,4,U,U,U,U,2,35,4,3,4,4,1,2,3,7,8,12,,,,,,,7,1,4,2,0,4,AMIZOUR,2,541890586,1,2,3
152,16,7,16,2,6,17,15,17,30,15,61322,7,2,1,3,,,94,2,2,1,0,1,0,0,0,0,3,28,2,1,25,1,1,24,2,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,6,U,5,97,0,0,1,0,0,8,0,0,3,3,97,3,97,3,3,97,2,2,97,2,0,,,,0,3,97,8,7,2,0,1,1,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,12,8,500,U,U,4,U,U,U,U,2,52,5,2,9,4,1,2,3,4,7,8,9,12,,,,,97,97,1,2,0,3,AMIZOUR,2,556708795,1,2,3
153,16,7,16,2,6,17,42,17,59,17,61322,7,2,1,3,,,94,2,5,1,0,1,1,0,0,0,4,75,1,1,68,2,1,31,2,1,25,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,8,2,0,0,1,0,0,8,0,0,4,5,5,4,5,4,3,2,2,3,2,2,0,,,,0,1,0,4,6,2,0,1,1,1,1,2,4,,,2,7,,,,,0,,,2,4,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,2,0,1,2,2,0,14,8,1000,U,U,4,U,U,200,U,1,35,4,4,2,4,95,,,,,,,,,,,,97,1,1,2,0,5,AMIZOUR,2,558046792,1,1,3
154,16,7,16,2,6,18,11,18,28,17,61322,7,2,1,3,,,94,2,5,1,0,1,1,0,0,0,2,38,2,1,5,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,8,U,8,3,0,0,1,0,0,8,0,0,5,4,97,5,97,3,97,97,3,97,97,2,0,,,,0,1,0,4,6,2,0,1,1,1,2,2,,,,2,,,,,,0,,,2,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,2,2,0,0,17,8,2000,U,U,4,U,U,U,U,1,46,5,4,4,4,1,2,3,4,6,7,8,9,12,,,,7,1,1,2,0,3,AMIZOUR,2,550044558,1,1,3
155,17,7,16,2,6,15,13,15,36,23,221450,27,1,1,,,,94,2,5,1,0,0,0,0,0,0,5,52,1,1,24,2,1,22,2,1,16,1,1,11,2,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,6,5,0,0,1,0,0,8,0,0,4,4,3,4,3,3,3,3,3,3,97,2,0,,,,0,2,0,2,6,2,0,3,0,1,1,4,,,,3,,,,,,0,,,0,,,,4,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,1,2,1,0,7,6,200,U,U,4,U,U,U,U,2,20,2,4,7,4,1,2,4,8,12,,,,,,,,97,1,1,1,0,4,SIDI BEL ABBES,3,798331443,1,2,3
156,17,7,16,2,6,19,10,19,21,11,221450,27,1,1,,,,94,2,5,1,0,0,0,0,0,0,5,50,2,1,24,1,1,22,2,1,15,1,1,8,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,2,0,0,7,U,6,1,0,0,1,0,0,97,0,0,3,3,3,3,3,3,4,3,2,3,3,2,0,,,,0,2,0,6,6,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1000,U,U,4,U,U,U,U,1,53,5,3,6,3,1,2,4,8,12,,,,,,,,3,1,1,2,0,4,SIDI BEL ABBES,3,541761315,1,2,3
157,17,7,16,2,6,19,23,19,33,10,221450,27,1,1,,,,94,2,2,1,0,0,0,0,0,0,4,60,1,1,58,2,1,30,1,1,23,1,1,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,9,U,8,4,0,0,1,0,0,8,0,0,4,4,4,4,4,3,3,4,1,2,3,2,0,,,,0,2,0,7,7,2,0,3,0,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,5,400,U,U,4,U,U,U,U,2,45,5,4,2,3,1,2,4,8,12,,,,,,,,2,1,1,1,0,4,SIDI BEL ABBES,3,797138423,1,2,3
158,17,7,16,2,6,19,55,20,11,16,221450,27,1,1,,,,94,2,5,0,1,0,0,0,0,0,3,60,1,1,55,2,1,11,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,3,0,0,8,U,2,12,0,0,1,0,0,8,0,0,3,3,3,4,5,3,4,3,1,3,3,2,0,,,,0,2,0,8,6,2,0,3,0,1,2,4,,,,7,,,,,,0,,,0,,,,0,,,0,,,0,,0,4,,0,,0,0,1,0,0,0,3,0,1,2,2,0,7,5,400,U,U,4,U,U,300,U,2,16,1,4,7,4,1,2,4,8,12,,,,,,,,97,1,1,3,0,4,SIDI BEL ABBES,3,672312421,1,2,3
159,13,7,16,2,6,9,8,9,27,19,190690,8,2,1,,,,94,2,1,0,1,1,0,0,0,0,3,33,1,1,3,2,2,2,1,2,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,U,0,0,1,0,0,1,1,0,0,7,U,8,4,0,0,1,0,0,8,0,0,4,4,4,4,4,3,3,4,3,3,2,2,0,,,,0,1,0,6,6,2,0,1,2,2,0,0,,,,0,,,,,,0,,,0,,,,0,,,0,,,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1600,U,U,4,U,U,U,U,2,31,3,5,4,4,1,2,3,4,5,8,,,,,,,4,1,1,1,0,4,EL EULMA,2,793912564,1,2,3
